SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,ForceOfLocalImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,CloseLocDistance,MosquitoRatesFile,MosquitoFixedParametersFile,AttractivenessShape,OutbreakResponseFile,EarlyMosquitoStages,DelayedEmergence,CorrectionTermA,CorrectionTermB,outbreak_response_strategy,outbreak_starting_method,outbreak_start_day,outbreak_spray_cycle_delay,outbreak_thoroughness,outbreak_compliance
sim_00010,1325976677,1325976677,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_10.txt,1,0,1,1,zonal,threshold monthly,244,7.787841796875,0.8455810546875,0.7137451171875
sim_00011,619341174,619341174,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_11.txt,1,0,1,1,zonal,threshold monthly,244,23.287841796875,5.5955810546875,0.3637451171875
sim_00012,442682299,442682299,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_12.txt,1,0,1,1,zonal,threshold monthly,244,11.662841796875,4.4080810546875,0.9762451171875
sim_00013,1149317801,1149317801,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_13.txt,1,0,1,1,zonal,threshold monthly,244,27.162841796875,9.1580810546875,0.6262451171875
sim_00014,796000050,796000050,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_14.txt,1,0,1,1,zonal,threshold monthly,244,3.912841796875,6.7830810546875,0.8012451171875
sim_00015,89364548,89364548,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_15.txt,1,0,1,1,zonal,threshold monthly,244,19.412841796875,2.0330810546875,0.4512451171875
sim_00016,133529267,133529267,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_16.txt,1,0,1,1,zonal,threshold monthly,244,4.881591796875,2.9237060546875,0.3418701171875
sim_00017,840164769,840164769,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_17.txt,1,0,1,1,zonal,threshold monthly,244,20.381591796875,7.6737060546875,0.6918701171875
sim_00018,1193482520,1193482520,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_18.txt,1,0,1,1,zonal,threshold monthly,244,12.631591796875,5.2987060546875,0.5168701171875
sim_00019,486847018,486847018,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_19.txt,1,0,1,1,zonal,threshold monthly,244,28.131591796875,0.5487060546875,0.8668701171875
sim_00020,663505893,663505893,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_20.txt,1,0,1,1,zonal,threshold monthly,244,8.756591796875,8.8612060546875,0.4293701171875
sim_00021,1370141396,1370141396,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_21.txt,1,0,1,1,zonal,threshold monthly,244,24.256591796875,4.1112060546875,0.7793701171875
sim_00022,1016823644,1016823644,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_22.txt,1,0,1,1,zonal,threshold monthly,244,1.006591796875,1.7362060546875,0.6043701171875
sim_00023,310188142,310188142,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_23.txt,1,0,1,1,zonal,threshold monthly,244,16.506591796875,6.4862060546875,0.9543701171875
sim_00024,221858705,221858705,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_24.txt,1,0,1,1,zonal,threshold monthly,244,14.569091796875,1.1424560546875,0.8231201171875
sim_00025,928494207,928494207,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_25.txt,1,0,1,1,zonal,threshold monthly,244,30.069091796875,5.8924560546875,0.4731201171875
sim_00026,1281811958,1281811958,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_26.txt,1,0,1,1,zonal,threshold monthly,244,6.819091796875,8.2674560546875,0.9981201171875
sim_00027,575176456,575176456,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_27.txt,1,0,1,1,zonal,threshold monthly,244,22.319091796875,3.5174560546875,0.6481201171875
sim_00028,398517580,398517580,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_28.txt,1,0,1,1,zonal,threshold monthly,244,2.944091796875,7.0799560546875,0.7356201171875
sim_00029,1105153082,1105153082,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_29.txt,1,0,1,1,zonal,threshold monthly,244,18.444091796875,2.3299560546875,0.3856201171875
sim_00030,751835331,751835331,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_30.txt,1,0,1,1,zonal,threshold monthly,244,10.694091796875,4.7049560546875,0.9106201171875
sim_00031,45199829,45199829,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_31.txt,1,0,1,1,zonal,threshold monthly,244,26.194091796875,9.4549560546875,0.5606201171875
sim_00032,67282188,67282188,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_32.txt,1,0,1,1,zonal,threshold monthly,244,2.459716796875,0.6971435546875,0.9653076171875
sim_00033,773917691,773917691,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_33.txt,1,0,1,1,zonal,threshold monthly,244,17.959716796875,5.4471435546875,0.6153076171875
sim_00034,1127235442,1127235442,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_34.txt,1,0,1,1,zonal,threshold monthly,244,10.209716796875,7.8221435546875,0.7903076171875
sim_00035,420599940,420599940,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_35.txt,1,0,1,1,zonal,threshold monthly,244,25.709716796875,3.0721435546875,0.4403076171875
sim_00036,597258815,597258815,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_36.txt,1,0,1,1,zonal,threshold monthly,244,14.084716796875,6.6346435546875,0.8778076171875
sim_00037,1303894317,1303894317,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_37.txt,1,0,1,1,zonal,threshold monthly,244,29.584716796875,1.8846435546875,0.5278076171875
sim_00038,950576566,950576566,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_38.txt,1,0,1,1,zonal,threshold monthly,244,6.334716796875,4.2596435546875,0.7028076171875
sim_00039,243941064,243941064,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_39.txt,1,0,1,1,zonal,threshold monthly,244,21.834716796875,9.0096435546875,0.3528076171875
sim_00040,332270502,332270502,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_40.txt,1,0,1,1,zonal,threshold monthly,244,8.272216796875,3.6658935546875,0.4840576171875
sim_00041,1038906004,1038906004,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_41.txt,1,0,1,1,zonal,threshold monthly,244,23.772216796875,8.4158935546875,0.8340576171875
sim_00042,1392223755,1392223755,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_42.txt,1,0,1,1,zonal,threshold monthly,244,0.522216796875,6.0408935546875,0.3090576171875
sim_00043,685588253,685588253,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_43.txt,1,0,1,1,zonal,threshold monthly,244,16.022216796875,1.2908935546875,0.6590576171875
sim_00044,508929377,508929377,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_44.txt,1,0,1,1,zonal,threshold monthly,244,4.397216796875,9.6033935546875,0.5715576171875
sim_00045,1215564879,1215564879,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_45.txt,1,0,1,1,zonal,threshold monthly,244,19.897216796875,4.8533935546875,0.9215576171875
sim_00046,862247128,862247128,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_46.txt,1,0,1,1,zonal,threshold monthly,244,12.147216796875,2.4783935546875,0.3965576171875
sim_00047,155611626,155611626,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_47.txt,1,0,1,1,zonal,threshold monthly,244,27.647216796875,7.2283935546875,0.7465576171875
sim_00048,111446907,111446907,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_48.txt,1,0,1,1,zonal,threshold monthly,244,13.115966796875,8.7127685546875,0.7246826171875
sim_00049,818082409,818082409,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_49.txt,1,0,1,1,zonal,threshold monthly,244,28.615966796875,3.9627685546875,0.3746826171875
sim_00050,1171400161,1171400161,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_50.txt,1,0,1,1,zonal,threshold monthly,244,5.365966796875,1.5877685546875,0.8996826171875
sim_00051,464764658,464764658,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_51.txt,1,0,1,1,zonal,threshold monthly,244,20.865966796875,6.3377685546875,0.5496826171875
sim_00052,641423534,641423534,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_52.txt,1,0,1,1,zonal,threshold monthly,244,1.490966796875,5.1502685546875,0.8121826171875
sim_00053,1348059036,1348059036,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_53.txt,1,0,1,1,zonal,threshold monthly,244,16.990966796875,9.9002685546875,0.4621826171875
sim_00054,994741285,994741285,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_54.txt,1,0,1,1,zonal,threshold monthly,244,9.240966796875,7.5252685546875,0.9871826171875
sim_00055,288105783,288105783,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_55.txt,1,0,1,1,zonal,threshold monthly,244,24.740966796875,2.7752685546875,0.6371826171875
sim_00056,199776345,199776345,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_56.txt,1,0,1,1,zonal,threshold monthly,244,7.303466796875,5.7440185546875,0.4184326171875
sim_00057,906411847,906411847,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_57.txt,1,0,1,1,zonal,threshold monthly,244,22.803466796875,0.9940185546875,0.7684326171875
sim_00058,1259729598,1259729598,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_58.txt,1,0,1,1,zonal,threshold monthly,244,15.053466796875,3.3690185546875,0.5934326171875
sim_00059,553094096,553094096,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_59.txt,1,0,1,1,zonal,threshold monthly,244,30.553466796875,8.1190185546875,0.9434326171875
sim_00060,376435221,376435221,4018,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.3,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_zonal_60.txt,1,0,1,1,zonal,threshold monthly,244,11.178466796875,2.1815185546875,0.3309326171875
